"Handle","Full Title","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Variant Image","Variant Weight Unit","Cost per item","Included / United States","Included / International","Status"
"example-shirt","Example T-Shirt - Green - S","Example T-Shirt","<p>This t-shirt is as simple as it gets. Easy to wear and insanely comfortable. Plus, it's made right here in our store for that extra special touch. Order a custom design or keep it blank for a classic look you can print on.</p>","Acme","Apparel & Accessories > Clothing > Clothing Tops > T-Shirts","Shirts","Made to Order, Shirt Tag","True","Color","Green","Size","S","SRT_COT_111","145.0","N/A","0.0","deny","manual","25.0","N/A","True","True","365275000000.0","https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500","1.0","A rack of T-Shirts","False","Example T-Shirt | Test Store","Cotton shirts from our store.","212.0","male","adult","365275000000.0","new","True","https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500","g","N/A","True","True","active"
"example-shirt","Example T-Shirt - Green - M","Example T-Shirt","<p>This t-shirt is as simple as it gets. Easy to wear and insanely comfortable. Plus, it's made right here in our store for that extra special touch. Order a custom design or keep it blank for a classic look you can print on.</p>","Acme","Apparel & Accessories > Clothing > Clothing Tops > T-Shirts","Shirts","Made to Order, Shirt Tag","True","Color","Green","Size","M","SRT_COT_122","145.0","N/A","0.0","deny","manual","25.0","N/A","True","True","463470000000.0","https://burst.shopifycdn.com/photos/blank-colored-t-shirts.jpg?width=1500","2.0","T-Shirt color swatches","False","Example T-Shirt | Test Store","Cotton shirts from our store.","212.0","male","adult","365275000000.0","new","True","https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500","g","N/A","True","True","active"
"example-shirt","Example T-Shirt - Green - L","Example T-Shirt","<p>This t-shirt is as simple as it gets. Easy to wear and insanely comfortable. Plus, it's made right here in our store for that extra special touch. Order a custom design or keep it blank for a classic look you can print on.</p>","Acme","Apparel & Accessories > Clothing > Clothing Tops > T-Shirts","Shirts","Made to Order, Shirt Tag","True","Color","Green","Size","L","SRT_COT_133","145.0","N/A","0.0","deny","manual","25.0","N/A","True","True","538376000000.0","https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500","3.0","Green T-Shirt","False","Example T-Shirt | Test Store","Cotton shirts from our store.","212.0","male","adult","365275000000.0","new","True","https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500","g","N/A","True","True","active"
"example-shirt","Example T-Shirt - Blue - S","Example T-Shirt","<p>This t-shirt is as simple as it gets. Easy to wear and insanely comfortable. Plus, it's made right here in our store for that extra special touch. Order a custom design or keep it blank for a classic look you can print on.</p>","Acme","Apparel & Accessories > Clothing > Clothing Tops > T-Shirts","Shirts","Made to Order, Shirt Tag","True","Color","Blue","Size","S","SRT_COT_211","145.0","N/A","0.0","deny","manual","25.0","N/A","True","True","556156000000.0","https://burst.shopifycdn.com/photos/cobalt-blue-t-shirt.jpg?width=1500","4.0","Blue T-Shirt","False","Example T-Shirt | Test Store","Cotton shirts from our store.","212.0","male","adult","365275000000.0","new","True","https://burst.shopifycdn.com/photos/cobalt-blue-t-shirt.jpg?width=1500","g","N/A","True","True","active"
"example-shirt","Example T-Shirt - Blue - M","Example T-Shirt","<p>This t-shirt is as simple as it gets. Easy to wear and insanely comfortable. Plus, it's made right here in our store for that extra special touch. Order a custom design or keep it blank for a classic look you can print on.</p>","Acme","Apparel & Accessories > Clothing > Clothing Tops > T-Shirts","Shirts","Made to Order, Shirt Tag","True","Color","Blue","Size","M","SRT_COT_222","145.0","N/A","0.0","deny","manual","25.0","N/A","True","True","243307000000.0","https://burst.shopifycdn.com/photos/grey-t-shirt.jpg?width=1500","5.0","Gray T-Shirt","False","Example T-Shirt | Test Store","Cotton shirts from our store.","212.0","male","adult","365275000000.0","new","True","https://burst.shopifycdn.com/photos/cobalt-blue-t-shirt.jpg?width=1500","g","N/A","True","True","active"
"example-shirt","Example T-Shirt - Blue - L","Example T-Shirt","<p>This t-shirt is as simple as it gets. Easy to wear and insanely comfortable. Plus, it's made right here in our store for that extra special touch. Order a custom design or keep it blank for a classic look you can print on.</p>","Acme","Apparel & Accessories > Clothing > Clothing Tops > T-Shirts","Shirts","Made to Order, Shirt Tag","True","Color","Blue","Size","L","SRT_COT_233","145.0","N/A","0.0","deny","manual","25.0","N/A","True","True","777979000000.0","https://burst.shopifycdn.com/photos/purple-t-shirt.jpg?width=1500","6.0","Purple T-Shirt","False","Example T-Shirt | Test Store","Cotton shirts from our store.","212.0","male","adult","365275000000.0","new","True","https://burst.shopifycdn.com/photos/cobalt-blue-t-shirt.jpg?width=1500","g","N/A","True","True","active"
"example-shirt","Example T-Shirt - Gray - S","Example T-Shirt","<p>This t-shirt is as simple as it gets. Easy to wear and insanely comfortable. Plus, it's made right here in our store for that extra special touch. Order a custom design or keep it blank for a classic look you can print on.</p>","Acme","Apparel & Accessories > Clothing > Clothing Tops > T-Shirts","Shirts","Made to Order, Shirt Tag","True","Color","Gray","Size","S","SRT_COT_311","145.0","N/A","0.0","deny","manual","25.0","N/A","True","True","363131000000.0","N/A","N/A","N/A","False","Example T-Shirt | Test Store","Cotton shirts from our store.","212.0","male","adult","365275000000.0","new","True","https://burst.shopifycdn.com/photos/grey-t-shirt.jpg?width=1500","g","N/A","True","True","active"
"example-shirt","Example T-Shirt - Gray - M","Example T-Shirt","<p>This t-shirt is as simple as it gets. Easy to wear and insanely comfortable. Plus, it's made right here in our store for that extra special touch. Order a custom design or keep it blank for a classic look you can print on.</p>","Acme","Apparel & Accessories > Clothing > Clothing Tops > T-Shirts","Shirts","Made to Order, Shirt Tag","True","Color","Gray","Size","M","SRT_COT_322","145.0","N/A","0.0","deny","manual","25.0","N/A","True","True","246716000000.0","N/A","N/A","N/A","False","Example T-Shirt | Test Store","Cotton shirts from our store.","212.0","male","adult","365275000000.0","new","True","https://burst.shopifycdn.com/photos/grey-t-shirt.jpg?width=1500","g","N/A","True","True","active"
"example-shirt","Example T-Shirt - Gray - L","Example T-Shirt","<p>This t-shirt is as simple as it gets. Easy to wear and insanely comfortable. Plus, it's made right here in our store for that extra special touch. Order a custom design or keep it blank for a classic look you can print on.</p>","Acme","Apparel & Accessories > Clothing > Clothing Tops > T-Shirts","Shirts","Made to Order, Shirt Tag","True","Color","Gray","Size","L","SRT_COT_333","145.0","N/A","0.0","deny","manual","25.0","N/A","True","True","845854000000.0","N/A","N/A","N/A","False","Example T-Shirt | Test Store","Cotton shirts from our store.","212.0","male","adult","365275000000.0","new","True","https://burst.shopifycdn.com/photos/grey-t-shirt.jpg?width=1500","g","N/A","True","True","active"
"example-shirt","Example T-Shirt - Purple - S","Example T-Shirt","<p>This t-shirt is as simple as it gets. Easy to wear and insanely comfortable. Plus, it's made right here in our store for that extra special touch. Order a custom design or keep it blank for a classic look you can print on.</p>","Acme","Apparel & Accessories > Clothing > Clothing Tops > T-Shirts","Shirts","Made to Order, Shirt Tag","True","Color","Purple","Size","S","SRT_COT_411","145.0","N/A","0.0","deny","manual","25.0","N/A","True","True","897446000000.0","N/A","N/A","N/A","False","Example T-Shirt | Test Store","Cotton shirts from our store.","212.0","male","adult","365275000000.0","new","True","https://burst.shopifycdn.com/photos/purple-t-shirt.jpg?width=1500","g","N/A","True","True","active"
