Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
example-shirt,Example T-Shirt,"<p>This t-shirt is as simple as it gets. Easy to wear and insanely comfortable. Plus, it's made right here in our store for that extra special touch. Order a custom design or keep it blank for a classic look you can print on.</p>",Acme,Apparel & Accessories > Clothing > Clothing Tops > T-Shirts,Shirts,"Made to Order, Shirt Tag",TRUE,Color,Green,Size,S,,,SRT_COT_111,145,,0,deny,manual,25,,TRUE,TRUE,3.65275E+11,https://burst.shopifycdn.com/photos/tshirts.jpg?width=1500,1,A rack of T-Shirts,FALSE,Example T-Shirt | Test Store,Cotton shirts from our store.,212,male,adult,3.65275E+11,new,TRUE,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,TRUE,,,TRUE,,,active
example-shirt,,,,,,,,,Green,,M,,,SRT_COT_122,145,,0,deny,manual,25,,TRUE,TRUE,4.6347E+11,https://burst.shopifycdn.com/photos/blank-colored-t-shirts.jpg?width=1500,2,T-Shirt color swatches,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Green,,L,,,SRT_COT_133,145,,0,deny,manual,25,,TRUE,TRUE,5.38376E+11,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,3,Green T-Shirt,,,,,,,,,,https://burst.shopifycdn.com/photos/green-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Blue,,S,,,SRT_COT_211,145,,0,deny,manual,25,,TRUE,TRUE,5.56156E+11,https://burst.shopifycdn.com/photos/cobalt-blue-t-shirt.jpg?width=1500,4,Blue T-Shirt,,,,,,,,,,https://burst.shopifycdn.com/photos/cobalt-blue-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Blue,,M,,,SRT_COT_222,145,,0,deny,manual,25,,TRUE,TRUE,2.43307E+11,https://burst.shopifycdn.com/photos/grey-t-shirt.jpg?width=1500,5,Gray T-Shirt,,,,,,,,,,https://burst.shopifycdn.com/photos/cobalt-blue-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Blue,,L,,,SRT_COT_233,145,,0,deny,manual,25,,TRUE,TRUE,7.77979E+11,https://burst.shopifycdn.com/photos/purple-t-shirt.jpg?width=1500,6,Purple T-Shirt,,,,,,,,,,https://burst.shopifycdn.com/photos/cobalt-blue-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Gray,,S,,,SRT_COT_311,145,,0,deny,manual,25,,TRUE,TRUE,3.63131E+11,,,,,,,,,,,,,https://burst.shopifycdn.com/photos/grey-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Gray,,M,,,SRT_COT_322,145,,0,deny,manual,25,,TRUE,TRUE,2.46716E+11,,,,,,,,,,,,,https://burst.shopifycdn.com/photos/grey-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Gray,,L,,,SRT_COT_333,145,,0,deny,manual,25,,TRUE,TRUE,8.45854E+11,,,,,,,,,,,,,https://burst.shopifycdn.com/photos/grey-t-shirt.jpg?width=1500,g,,,,,,,,,
example-shirt,,,,,,,,,Purple,,S,,,SRT_COT_411,145,,0,deny,manual,25,,TRUE,TRUE,8.97446E+11,,,,,,,,,,,,,https://burst.shopifycdn.com/photos/purple-t-shirt.jpg?width=1500,g,,,,,,,,,
